length,gc_content,has_start_codon,num_codons,file_source
468,36.965811965811966,True,156,File1
174,39.08045977011494,True,58,File1
63,20.634920634920633,True,21,File1
231,39.39393939393939,True,77,File1
144,42.36111111111111,True,48,File1
2082,40.68203650336215,True,694,File1
141,36.17021276595745,True,47,File1
696,37.64367816091954,True,232,File1
129,37.2093023255814,True,43,File1
201,37.3134328358209,True,67,File1
369,38.75338753387534,True,123,File1
228,35.526315789473685,True,76,File1
435,44.13793103448276,True,145,File1
1686,40.569395017793596,True,562,File1
453,39.95584988962472,True,151,File1
537,36.49906890130354,True,179,File1
912,37.390350877192986,True,304,File1
363,37.46556473829201,True,121,File1
519,41.61849710982659,True,173,File1
141,39.71631205673759,True,47,File1
420,39.523809523809526,True,140,File1
438,37.44292237442922,True,146,File1
210,40.95238095238095,True,70,File1
372,38.17204301075269,True,124,File1
330,36.06060606060606,True,110,File1
168,41.66666666666667,True,56,File1
318,37.10691823899371,True,106,File1
192,44.79166666666667,True,64,File1
243,40.74074074074074,True,81,File1
501,37.72455089820359,True,167,File1
66,40.909090909090914,True,22,File1
138,32.608695652173914,True,46,File1
327,38.837920489296636,True,109,File1
282,39.361702127659576,True,94,File1
81,41.9753086419753,False,27,File1
327,40.97859327217125,True,109,File1
198,33.83838383838384,False,66,File1
213,33.33333333333333,True,71,File1
255,37.64705882352941,True,85,File1
66,45.45454545454545,True,22,File1
237,34.177215189873415,True,79,File1
258,45.348837209302324,True,86,File1
1455,41.03092783505154,True,485,File1
255,43.529411764705884,True,85,File1
375,34.93333333333333,True,125,File1
225,41.333333333333336,True,75,File1
834,52.27817745803357,True,278,File1
201,54.72636815920397,True,67,File1
267,59.176029962546814,True,89,File1
516,60.46511627906976,True,172,File1
249,58.63453815261044,True,83,File1
462,59.95670995670995,True,154,File1
300,60.0,True,100,File1
531,56.685499058380415,True,177,File1
288,57.986111111111114,True,96,File1
555,59.09909909909909,True,185,File1
207,62.31884057971014,True,69,File1
192,60.416666666666664,True,64,File1
261,59.77011494252874,True,87,File1
294,56.80272108843537,True,98,File1
759,59.025032938076414,True,253,File1
267,57.67790262172284,True,89,File1
213,56.33802816901409,True,71,File1
213,58.21596244131455,True,71,File1
423,60.28368794326241,True,141,File1
375,57.599999999999994,True,125,File1
501,59.48103792415169,True,167,File1
414,59.66183574879227,True,138,File1
264,59.46969696969697,True,88,File1
324,58.64197530864198,True,108,File1
195,60.0,True,65,File1
450,60.88888888888889,True,150,File1
180,59.44444444444444,True,60,File1
204,60.29411764705882,True,68,File1
237,55.69620253164557,True,79,File1
429,58.27505827505828,True,143,File1
612,56.372549019607845,True,204,File1
276,56.88405797101449,True,92,File1
390,56.15384615384615,True,130,File1
183,55.73770491803278,True,61,File1
474,56.9620253164557,True,158,File1
351,62.10826210826211,True,117,File1
591,59.729272419627755,True,197,File1
300,56.333333333333336,True,100,File1
303,56.43564356435643,True,101,File1
387,58.139534883720934,True,129,File1
270,58.51851851851851,True,90,File1
495,57.17171717171718,True,165,File1
192,57.8125,True,64,File1
387,58.139534883720934,True,129,File1
744,58.46774193548387,True,248,File1
240,58.333333333333336,True,80,File1
534,60.2996254681648,True,178,File1
414,59.66183574879227,True,138,File1
432,59.25925925925925,True,144,File1
213,59.154929577464785,True,71,File1
231,57.57575757575758,True,77,File1
285,55.78947368421052,True,95,File1
183,55.73770491803278,True,61,File1
474,56.9620253164557,True,158,File1
225,57.333333333333336,True,75,File1
261,62.45210727969349,True,87,File1
228,55.70175438596491,True,76,File1
216,53.70370370370371,True,72,File1
387,58.139534883720934,True,129,File1
